teatro,mes,preco_inteira,dia_da_semana,is_fim_de_semana,antecedencia_compra_dias,tipo_cod,categoria_cod,probabilidade_noshow,alto_risco
Teatro de Santa Isabel,3,31.11,6.0,1.0,23.0,0.0,4.0,20.38,1
Teatro de Santa Isabel,3,47.39,3.0,0.0,18.0,0.0,4.0,17.14,0
Teatro de Santa Isabel,3,42.62,5.0,0.0,48.0,1.0,4.0,30.56,1
Teatro de Santa Isabel,3,37.47,5.0,0.0,47.0,1.0,4.0,28.3,1
Teatro de Santa Isabel,3,59.97,7.0,1.0,25.0,2.0,4.0,12.12,0
Teatro de Santa Isabel,3,42.49,4.0,0.0,47.0,2.0,4.0,32.48,1
Teatro de Santa Isabel,3,42.42,4.0,0.0,39.0,0.0,4.0,17.06,0
Teatro do Parque,3,58.63,1.0,0.0,22.0,2.0,2.0,13.84,0
Teatro do Parque,3,67.35,1.0,0.0,45.0,2.0,2.0,24.49,1
Teatro do Parque,3,67.42,4.0,0.0,0.0,2.0,2.0,12.35,0
Teatro do Parque,3,69.71,4.0,0.0,15.0,0.0,2.0,2.0,0
Teatro do Parque,3,81.11,4.0,0.0,24.0,0.0,2.0,11.63,0
Teatro do Parque,3,53.87,2.0,0.0,25.0,2.0,2.0,30.12,1
Teatro do Parque,3,66.72,2.0,0.0,60.0,2.0,2.0,14.16,0
Teatro do Parque,3,66.64,5.0,0.0,6.0,1.0,2.0,8.33,0
Teatro do Parque,3,70.87,7.0,1.0,20.0,1.0,2.0,3.02,0
Teatro do Parque,3,64.82,3.0,0.0,23.0,0.0,2.0,5.63,0
Teatro do Parque,3,69.82,5.0,0.0,39.0,0.0,2.0,8.19,0
Teatro do Parque,3,73.36,3.0,0.0,15.0,2.0,2.0,15.84,0
Teatro do Parque,3,73.17,2.0,0.0,49.0,2.0,2.0,18.64,0
Teatro do Parque,3,60.21,7.0,1.0,19.0,2.0,2.0,16.01,0
Teatro do Parque,3,62.54,3.0,0.0,2.0,0.0,2.0,7.17,0
Teatro do Parque,3,55.85,2.0,0.0,51.0,0.0,2.0,16.62,0
Teatro do Parque,3,75.49,4.0,0.0,24.0,0.0,2.0,12.93,0
Teatro do Parque,3,72.02,3.0,0.0,16.0,1.0,2.0,6.6,0
Teatro do Parque,3,71.86,2.0,0.0,19.0,1.0,2.0,7.26,0
Teatro do Parque,3,55.77,2.0,0.0,29.0,0.0,2.0,9.33,0
Teatro do Parque,3,69.48,1.0,0.0,56.0,0.0,2.0,20.22,1
Teatro do Parque,3,73.07,1.0,0.0,5.0,1.0,2.0,8.09,0
Teatro do Parque,3,46.4,4.0,0.0,9.0,2.0,2.0,14.2,0
Teatro do Parque,3,65.11,6.0,1.0,55.0,2.0,2.0,23.99,1
Teatro do Parque,3,55.79,3.0,0.0,13.0,1.0,2.0,19.21,0
Teatro Hermilo Borba Filho,3,46.37,3.0,0.0,42.0,0.0,4.0,13.76,0
Teatro Hermilo Borba Filho,3,56.82,2.0,0.0,36.0,0.0,4.0,19.59,0
Teatro Hermilo Borba Filho,3,29.07,1.0,0.0,16.0,0.0,4.0,18.51,0
Teatro Hermilo Borba Filho,3,57.98,1.0,0.0,53.0,1.0,4.0,17.94,0
Teatro Hermilo Borba Filho,3,38.49,4.0,0.0,20.0,1.0,4.0,12.34,0
Teatro Hermilo Borba Filho,3,38.77,6.0,1.0,15.0,1.0,4.0,11.06,0
Teatro Hermilo Borba Filho,3,43.45,5.0,0.0,16.0,2.0,4.0,17.56,0
Teatro Hermilo Borba Filho,3,36.81,3.0,0.0,31.0,1.0,4.0,19.67,0
Teatro Hermilo Borba Filho,3,43.11,3.0,0.0,21.0,2.0,4.0,22.15,1
Teatro Hermilo Borba Filho,3,54.38,3.0,0.0,28.0,2.0,4.0,24.35,1
Tearro Apolo,4,40.31,6.0,1.0,32.0,2.0,4.0,29.45,1
Tearro Apolo,4,28.72,4.0,0.0,6.0,0.0,4.0,27.05,1
Tearro Apolo,4,36.64,2.0,0.0,56.0,2.0,4.0,31.1,1
Tearro Apolo,4,43.65,1.0,0.0,36.0,1.0,4.0,20.27,1
Tearro Apolo,4,49.09,7.0,1.0,20.0,0.0,4.0,16.07,0
Tearro Apolo,4,20.63,4.0,0.0,45.0,1.0,4.0,22.76,1
Teatro Barreto Júnior,4,43.31,7.0,1.0,27.0,0.0,0.0,18.3,0
Teatro Barreto Júnior,4,24.92,7.0,1.0,6.0,0.0,0.0,15.12,0
Teatro Barreto Júnior,4,33.97,2.0,0.0,37.0,2.0,0.0,25.25,1
Teatro Barreto Júnior,4,24.07,3.0,0.0,5.0,2.0,0.0,23.1,1
Teatro Barreto Júnior,4,29.42,6.0,1.0,6.0,2.0,0.0,17.92,0
Teatro Barreto Júnior,4,26.38,1.0,0.0,46.0,0.0,0.0,32.82,1
Teatro Barreto Júnior,4,28.78,6.0,1.0,23.0,0.0,0.0,12.5,0
Teatro Barreto Júnior,4,27.48,7.0,1.0,43.0,0.0,0.0,27.59,1
Teatro Barreto Júnior,4,40.29,6.0,1.0,2.0,2.0,0.0,19.78,0
Teatro Barreto Júnior,4,29.29,3.0,0.0,32.0,2.0,0.0,31.31,1
Teatro Barreto Júnior,4,35.06,4.0,0.0,8.0,0.0,0.0,22.4,1
Teatro Barreto Júnior,4,23.49,2.0,0.0,55.0,0.0,0.0,28.7,1
Teatro de Santa Isabel,4,52.0,3.0,0.0,51.0,2.0,4.0,29.76,1
Teatro de Santa Isabel,4,10.0,5.0,0.0,20.0,1.0,4.0,31.07,1
Teatro de Santa Isabel,4,35.16,1.0,0.0,50.0,0.0,4.0,22.69,1
Teatro de Santa Isabel,4,29.98,2.0,0.0,17.0,2.0,4.0,30.19,1
Teatro de Santa Isabel,4,40.35,1.0,0.0,9.0,2.0,4.0,18.14,0
Teatro de Santa Isabel,4,29.58,1.0,0.0,28.0,1.0,4.0,15.53,0
Teatro de Santa Isabel,4,42.29,7.0,1.0,60.0,1.0,4.0,23.36,1
Teatro de Santa Isabel,4,36.97,6.0,1.0,22.0,2.0,4.0,20.04,1
Teatro de Santa Isabel,4,43.53,6.0,1.0,20.0,1.0,4.0,16.31,0
Teatro do Parque,4,57.71,6.0,1.0,5.0,0.0,2.0,7.75,0
Teatro do Parque,4,72.56,5.0,0.0,9.0,2.0,2.0,7.75,0
Teatro do Parque,4,54.55,6.0,1.0,8.0,0.0,2.0,11.83,0
Teatro do Parque,4,68.16,2.0,0.0,46.0,2.0,2.0,10.06,0
Teatro do Parque,4,65.36,4.0,0.0,24.0,1.0,2.0,18.25,0
Teatro do Parque,4,59.72,5.0,0.0,10.0,2.0,2.0,20.83,1
Teatro do Parque,4,55.45,6.0,1.0,20.0,2.0,2.0,12.35,0
Teatro do Parque,4,70.43,2.0,0.0,60.0,2.0,2.0,22.98,1
Teatro do Parque,4,89.45,5.0,0.0,17.0,0.0,2.0,13.54,0
Teatro do Parque,4,63.46,2.0,0.0,34.0,0.0,2.0,14.5,0
Teatro do Parque,4,54.28,5.0,0.0,47.0,1.0,2.0,18.01,0
Teatro do Parque,4,49.07,1.0,0.0,24.0,1.0,2.0,14.29,0
Teatro do Parque,4,79.35,2.0,0.0,16.0,1.0,2.0,11.75,0
Teatro do Parque,4,51.02,7.0,1.0,30.0,1.0,2.0,14.27,0
Teatro do Parque,4,72.95,1.0,0.0,31.0,0.0,2.0,16.29,0
Teatro do Parque,4,74.74,1.0,0.0,12.0,0.0,2.0,14.57,0
Teatro Hermilo Borba Filho,4,29.03,7.0,1.0,25.0,1.0,4.0,26.17,1
Teatro Hermilo Borba Filho,4,37.28,3.0,0.0,34.0,2.0,4.0,32.83,1
Teatro Hermilo Borba Filho,4,36.39,2.0,0.0,0.0,0.0,4.0,15.35,0
Teatro Luiz Mendonça,4,63.16,4.0,0.0,1.0,0.0,2.0,2.0,0
Teatro Luiz Mendonça,4,56.06,3.0,0.0,24.0,1.0,2.0,16.93,0
Teatro Luiz Mendonça,4,65.37,6.0,1.0,18.0,1.0,2.0,2.0,0
Teatro Luiz Mendonça,4,59.57,3.0,0.0,10.0,0.0,2.0,18.08,0
Teatro Luiz Mendonça,4,66.84,2.0,0.0,10.0,1.0,2.0,14.8,0
Teatro Luiz Mendonça,4,65.01,5.0,0.0,13.0,1.0,2.0,13.44,0
Teatro Luiz Mendonça,4,49.93,5.0,0.0,22.0,2.0,2.0,17.83,0
Teatro Luiz Mendonça,4,61.36,3.0,0.0,25.0,0.0,2.0,6.15,0
Tearro Apolo,5,32.38,6.0,1.0,9.0,0.0,4.0,18.53,0
Tearro Apolo,5,32.0,5.0,0.0,54.0,2.0,4.0,33.78,1
Tearro Apolo,5,38.59,5.0,0.0,28.0,0.0,4.0,29.02,1
Tearro Apolo,5,59.6,7.0,1.0,6.0,1.0,4.0,10.78,0
Tearro Apolo,5,44.2,2.0,0.0,20.0,1.0,4.0,16.28,0
Tearro Apolo,5,62.82,6.0,1.0,54.0,0.0,4.0,3.12,0
Teatro Barreto Júnior,5,21.22,7.0,1.0,12.0,2.0,0.0,23.16,1
Teatro Barreto Júnior,5,47.91,2.0,0.0,24.0,0.0,0.0,17.21,0
Teatro Barreto Júnior,5,40.6,3.0,0.0,19.0,1.0,0.0,23.69,1
Teatro Barreto Júnior,5,38.27,2.0,0.0,11.0,2.0,0.0,32.7,1
Teatro Barreto Júnior,5,24.99,1.0,0.0,48.0,1.0,0.0,26.99,1
Teatro Barreto Júnior,5,16.92,7.0,1.0,34.0,1.0,0.0,24.96,1
Teatro Barreto Júnior,5,27.75,4.0,0.0,32.0,0.0,0.0,20.65,1
Teatro Barreto Júnior,5,44.99,6.0,1.0,46.0,1.0,0.0,17.69,0
Teatro Barreto Júnior,5,41.62,2.0,0.0,40.0,2.0,0.0,28.69,1
Teatro Barreto Júnior,5,38.73,7.0,1.0,41.0,2.0,0.0,24.62,1
Teatro Barreto Júnior,5,46.94,4.0,0.0,27.0,0.0,0.0,21.8,1
Teatro Barreto Júnior,5,21.74,1.0,0.0,16.0,2.0,0.0,27.38,1
Teatro Barreto Júnior,5,13.71,2.0,0.0,48.0,2.0,0.0,29.84,1
Teatro Barreto Júnior,5,25.35,4.0,0.0,29.0,0.0,0.0,10.54,0
Teatro Barreto Júnior,5,25.04,4.0,0.0,7.0,0.0,0.0,24.36,1
Teatro Barreto Júnior,5,28.25,1.0,0.0,1.0,2.0,0.0,18.62,0
Teatro Barreto Júnior,5,46.9,4.0,0.0,48.0,1.0,0.0,27.67,1
Teatro Barreto Júnior,5,44.67,5.0,0.0,11.0,1.0,0.0,16.31,0
Teatro Barreto Júnior,5,43.77,3.0,0.0,14.0,0.0,0.0,22.59,1
Teatro Barreto Júnior,5,62.11,3.0,0.0,2.0,0.0,0.0,10.87,0
Teatro Barreto Júnior,5,58.1,4.0,0.0,31.0,2.0,0.0,25.61,1
Teatro Barreto Júnior,5,40.62,7.0,1.0,9.0,2.0,0.0,17.74,0
Teatro Barreto Júnior,5,30.9,4.0,0.0,10.0,2.0,0.0,31.46,1
Teatro de Santa Isabel,5,36.2,5.0,0.0,52.0,0.0,4.0,14.58,0
Teatro de Santa Isabel,5,48.29,5.0,0.0,56.0,2.0,4.0,31.81,1
Teatro de Santa Isabel,5,41.77,6.0,1.0,29.0,1.0,4.0,17.09,0
Teatro de Santa Isabel,5,22.48,4.0,0.0,34.0,2.0,4.0,24.38,1
Teatro de Santa Isabel,5,33.28,7.0,1.0,12.0,0.0,4.0,17.51,0
Teatro de Santa Isabel,5,38.18,7.0,1.0,34.0,0.0,4.0,15.42,0
Teatro de Santa Isabel,5,35.08,2.0,0.0,32.0,1.0,4.0,25.68,1
Teatro de Santa Isabel,5,35.81,5.0,0.0,7.0,1.0,4.0,15.67,0
Teatro de Santa Isabel,5,62.29,3.0,0.0,47.0,0.0,4.0,21.22,1
Teatro de Santa Isabel,5,54.01,4.0,0.0,49.0,0.0,4.0,23.5,1
Teatro de Santa Isabel,5,47.45,5.0,0.0,30.0,1.0,4.0,21.17,1
Teatro de Santa Isabel,5,35.6,4.0,0.0,56.0,1.0,4.0,27.84,1
Teatro de Santa Isabel,5,26.09,5.0,0.0,59.0,0.0,4.0,22.29,1
Teatro de Santa Isabel,5,34.07,4.0,0.0,45.0,2.0,4.0,36.49,1
Teatro do Parque,5,63.86,4.0,0.0,40.0,2.0,2.0,17.05,0
Teatro do Parque,5,56.46,5.0,0.0,2.0,2.0,2.0,10.0,0
Teatro do Parque,5,50.73,3.0,0.0,38.0,0.0,2.0,15.16,0
Teatro do Parque,5,63.37,6.0,1.0,17.0,0.0,2.0,12.53,0
Teatro do Parque,5,70.63,6.0,1.0,10.0,2.0,2.0,5.42,0
Teatro do Parque,5,68.28,3.0,0.0,43.0,1.0,2.0,12.18,0
Teatro do Parque,5,61.46,1.0,0.0,49.0,0.0,2.0,13.47,0
Teatro do Parque,5,58.75,4.0,0.0,20.0,1.0,2.0,5.44,0
Teatro do Parque,5,64.57,1.0,0.0,26.0,2.0,2.0,8.91,0
Teatro do Parque,5,48.18,3.0,0.0,38.0,1.0,2.0,9.08,0
Teatro do Parque,5,52.32,4.0,0.0,48.0,1.0,2.0,25.42,1
Teatro do Parque,5,63.3,4.0,0.0,27.0,1.0,2.0,21.22,1
Teatro do Parque,5,53.35,1.0,0.0,51.0,2.0,2.0,30.65,1
Teatro do Parque,5,62.39,7.0,1.0,50.0,1.0,2.0,14.14,0
Teatro Hermilo Borba Filho,5,22.19,2.0,0.0,11.0,2.0,4.0,22.73,1
Teatro Hermilo Borba Filho,5,36.35,1.0,0.0,45.0,0.0,4.0,25.43,1
Teatro Hermilo Borba Filho,5,38.54,7.0,1.0,49.0,1.0,4.0,17.55,0
Teatro Hermilo Borba Filho,5,28.37,2.0,0.0,42.0,0.0,4.0,20.68,1
Teatro Hermilo Borba Filho,5,43.42,5.0,0.0,0.0,1.0,4.0,7.21,0
Teatro Luiz Mendonça,5,68.46,4.0,0.0,46.0,0.0,2.0,14.91,0
Teatro Luiz Mendonça,5,48.79,4.0,0.0,25.0,1.0,2.0,10.3,0
Teatro Luiz Mendonça,5,63.26,4.0,0.0,39.0,1.0,2.0,18.75,0
Teatro Luiz Mendonça,5,80.78,3.0,0.0,28.0,0.0,2.0,11.4,0
Teatro Luiz Mendonça,5,78.58,2.0,0.0,32.0,2.0,2.0,19.65,0
Teatro Luiz Mendonça,5,62.48,4.0,0.0,24.0,2.0,2.0,9.98,0
Teatro Luiz Mendonça,5,68.24,2.0,0.0,26.0,2.0,2.0,24.4,1
Teatro Luiz Mendonça,5,66.92,4.0,0.0,3.0,2.0,2.0,9.76,0
Teatro Luiz Mendonça,5,56.69,7.0,1.0,9.0,2.0,2.0,4.75,0
Teatro Luiz Mendonça,5,74.74,1.0,0.0,50.0,0.0,2.0,13.09,0
Teatro Luiz Mendonça,5,71.48,6.0,1.0,30.0,1.0,2.0,11.57,0
Teatro Luiz Mendonça,5,58.06,3.0,0.0,41.0,0.0,2.0,8.0,0
Teatro Luiz Mendonça,5,68.88,4.0,0.0,9.0,2.0,2.0,10.89,0
Teatro Luiz Mendonça,5,63.97,5.0,0.0,25.0,1.0,2.0,17.45,0
Teatro Luiz Mendonça,5,58.01,7.0,1.0,47.0,0.0,2.0,12.24,0
Teatro Luiz Mendonça,5,48.85,7.0,1.0,1.0,1.0,2.0,6.29,0
Teatro Luiz Mendonça,5,59.62,2.0,0.0,49.0,2.0,2.0,23.43,1
Teatro Luiz Mendonça,5,63.59,4.0,0.0,15.0,1.0,2.0,12.38,0
Teatro Luiz Mendonça,5,52.51,7.0,1.0,48.0,0.0,2.0,14.9,0
Teatro Luiz Mendonça,5,53.72,7.0,1.0,32.0,0.0,2.0,10.08,0
Teatro Luiz Mendonça,5,67.6,4.0,0.0,3.0,1.0,2.0,16.66,0
Teatro Luiz Mendonça,5,63.87,6.0,1.0,20.0,2.0,2.0,7.5,0
Teatro Luiz Mendonça,5,75.47,2.0,0.0,5.0,0.0,2.0,11.78,0
Teatro Luiz Mendonça,5,55.59,3.0,0.0,53.0,0.0,2.0,16.03,0
Teatro Luiz Mendonça,5,50.58,5.0,0.0,4.0,0.0,2.0,8.97,0
Teatro Luiz Mendonça,5,66.11,5.0,0.0,20.0,2.0,2.0,14.14,0
Teatro Luiz Mendonça,5,59.23,5.0,0.0,27.0,2.0,2.0,16.46,0
Teatro Luiz Mendonça,5,58.44,2.0,0.0,37.0,1.0,2.0,12.61,0
Teatro Luiz Mendonça,5,65.7,5.0,0.0,37.0,0.0,2.0,9.64,0
Teatro Luiz Mendonça,5,63.56,6.0,1.0,45.0,2.0,2.0,15.7,0
Teatro Luiz Mendonça,5,60.49,2.0,0.0,5.0,1.0,2.0,15.76,0
Teatro Luiz Mendonça,5,51.53,1.0,0.0,4.0,1.0,2.0,2.76,0
Teatro Luiz Mendonça,5,55.17,4.0,0.0,31.0,1.0,2.0,18.93,0
Tearro Apolo,6,50.16,3.0,0.0,46.0,1.0,4.0,21.66,1
Tearro Apolo,6,36.73,6.0,1.0,24.0,1.0,4.0,20.02,1
Tearro Apolo,6,36.96,2.0,0.0,55.0,2.0,4.0,30.46,1
Teatro Barreto Júnior,6,44.61,4.0,0.0,21.0,0.0,0.0,20.91,1
Teatro Barreto Júnior,6,30.38,3.0,0.0,38.0,2.0,0.0,35.6,1
Teatro Barreto Júnior,6,47.22,7.0,1.0,57.0,1.0,0.0,30.93,1
Teatro Barreto Júnior,6,26.24,1.0,0.0,19.0,1.0,0.0,27.8,1
Teatro Barreto Júnior,6,35.88,4.0,0.0,49.0,1.0,0.0,25.0,1
Teatro Barreto Júnior,6,35.11,1.0,0.0,13.0,0.0,0.0,14.46,0
Teatro Barreto Júnior,6,31.15,6.0,1.0,54.0,0.0,0.0,24.73,1
Teatro Barreto Júnior,6,39.75,1.0,0.0,9.0,1.0,0.0,25.25,1
Teatro Barreto Júnior,6,24.15,5.0,0.0,7.0,0.0,0.0,19.38,0
Teatro Barreto Júnior,6,41.79,6.0,1.0,40.0,0.0,0.0,12.65,0
Teatro Barreto Júnior,6,24.36,6.0,1.0,47.0,1.0,0.0,16.25,0
Teatro Barreto Júnior,6,42.25,3.0,0.0,26.0,1.0,0.0,18.71,0
Teatro Barreto Júnior,6,37.0,5.0,0.0,52.0,1.0,0.0,22.54,1
Teatro Barreto Júnior,6,13.44,2.0,0.0,25.0,0.0,0.0,18.28,0
Teatro Barreto Júnior,6,29.45,2.0,0.0,18.0,2.0,0.0,22.84,1
Teatro de Santa Isabel,6,40.32,2.0,0.0,59.0,0.0,4.0,25.3,1
Teatro de Santa Isabel,6,10.83,4.0,0.0,38.0,1.0,4.0,24.78,1
Teatro de Santa Isabel,6,25.34,4.0,0.0,28.0,2.0,4.0,21.77,1
Teatro de Santa Isabel,6,34.17,4.0,0.0,22.0,0.0,4.0,17.08,0
Teatro de Santa Isabel,6,31.37,5.0,0.0,23.0,0.0,4.0,16.07,0
Teatro de Santa Isabel,6,31.98,6.0,1.0,39.0,2.0,4.0,21.77,1
Teatro de Santa Isabel,6,21.97,3.0,0.0,28.0,2.0,4.0,29.37,1
Teatro de Santa Isabel,6,22.24,6.0,1.0,2.0,1.0,4.0,10.56,0
Teatro do Parque,6,62.14,2.0,0.0,8.0,0.0,2.0,8.89,0
Teatro do Parque,6,69.85,2.0,0.0,42.0,1.0,2.0,16.12,0
Teatro do Parque,6,61.93,3.0,0.0,39.0,2.0,2.0,21.83,1
Teatro do Parque,6,80.75,1.0,0.0,0.0,1.0,2.0,10.75,0
Teatro do Parque,6,57.14,6.0,1.0,25.0,2.0,2.0,17.43,0
Teatro do Parque,6,70.45,1.0,0.0,55.0,0.0,2.0,17.69,0
Teatro do Parque,6,64.08,3.0,0.0,27.0,2.0,2.0,20.33,1
Teatro do Parque,6,50.95,4.0,0.0,6.0,2.0,2.0,20.97,1
Teatro do Parque,6,52.35,2.0,0.0,3.0,2.0,2.0,18.14,0
Teatro do Parque,6,64.72,7.0,1.0,44.0,1.0,2.0,10.55,0
