teatro,mes,preco_efetivo,preco_inteira,capacidade,categoria_cod,receita_real
Teatro Barreto Júnior,3,24.93,26.67,400.0,0.0,3970.23
Teatro Barreto Júnior,3,38.15,46.06,400.0,0.0,8576.14
Teatro Barreto Júnior,3,31.46,41.19,400.0,0.0,7867.69
Teatro Barreto Júnior,3,36.21,49.33,400.0,0.0,9051.97
Teatro Barreto Júnior,3,29.43,39.3,400.0,0.0,8005.23
Teatro Barreto Júnior,3,28.91,31.91,400.0,0.0,4436.86
Teatro Barreto Júnior,3,46.4,48.64,400.0,0.0,7013.65
Teatro Barreto Júnior,3,35.68,39.35,400.0,0.0,7487.6
Teatro Barreto Júnior,3,32.0,34.14,400.0,0.0,5816.29
Teatro Barreto Júnior,3,18.93,25.3,400.0,0.0,4866.22
Teatro de Santa Isabel,3,42.19,54.55,750.0,4.0,19411.08
Teatro de Santa Isabel,3,41.41,44.52,750.0,4.0,16250.81
Teatro de Santa Isabel,3,29.79,32.13,750.0,4.0,12030.75
Teatro de Santa Isabel,3,37.41,42.03,750.0,4.0,15159.63
Teatro de Santa Isabel,3,31.98,42.96,750.0,4.0,17335.06
Teatro de Santa Isabel,3,27.39,31.11,750.0,4.0,12300.06
Teatro de Santa Isabel,3,47.04,47.39,750.0,4.0,15809.39
Teatro de Santa Isabel,3,33.63,42.62,750.0,4.0,17481.75
Teatro de Santa Isabel,3,27.32,37.47,750.0,4.0,14222.51
Teatro de Santa Isabel,3,52.05,59.97,750.0,4.0,20176.19
Teatro de Santa Isabel,3,33.14,42.49,750.0,4.0,13309.64
Teatro de Santa Isabel,3,29.97,42.42,750.0,4.0,17243.23
Teatro do Parque,3,42.37,58.63,500.0,2.0,16841.23
Teatro do Parque,3,52.94,67.35,500.0,2.0,21637.12
Teatro do Parque,3,62.67,67.42,500.0,2.0,21557.67
Teatro do Parque,3,61.32,69.71,500.0,2.0,19762.12
Teatro do Parque,3,60.35,81.11,500.0,2.0,22692.01
Teatro do Parque,3,52.5,53.87,500.0,2.0,16858.01
Teatro do Parque,3,58.55,66.72,500.0,2.0,19057.28
Teatro do Parque,3,48.34,66.64,500.0,2.0,19985.89
Teatro do Parque,3,70.5,70.87,500.0,2.0,18416.78
Teatro do Parque,3,54.31,64.82,500.0,2.0,20019.05
Teatro do Parque,3,58.73,69.82,500.0,2.0,17507.57
Teatro do Parque,3,69.94,73.36,500.0,2.0,22307.17
Teatro do Parque,3,62.71,73.17,500.0,2.0,22339.95
Teatro do Parque,3,50.05,60.21,500.0,2.0,19719.35
Teatro do Parque,3,61.87,62.54,500.0,2.0,14102.4
Teatro do Parque,3,47.2,55.85,500.0,2.0,15997.45
Teatro do Parque,3,59.68,75.49,500.0,2.0,19450.24
Teatro do Parque,3,53.38,72.02,500.0,2.0,20971.23
Teatro do Parque,3,55.03,71.86,500.0,2.0,18668.29
Teatro do Parque,3,51.95,55.77,500.0,2.0,18086.14
Teatro do Parque,3,66.34,69.48,500.0,2.0,17927.2
Teatro do Parque,3,70.64,73.07,500.0,2.0,16147.66
Teatro do Parque,3,46.34,46.4,500.0,2.0,14956.91
Teatro do Parque,3,47.17,65.11,500.0,2.0,19024.91
Teatro do Parque,3,50.46,55.79,500.0,2.0,17320.3
Teatro Hermilo Borba Filho,3,45.95,46.37,200.0,4.0,2810.91
Teatro Hermilo Borba Filho,3,44.23,56.82,200.0,4.0,6950.71
Teatro Hermilo Borba Filho,3,27.56,29.07,200.0,4.0,3260.37
Teatro Hermilo Borba Filho,3,47.81,57.98,200.0,4.0,5789.31
Teatro Hermilo Borba Filho,3,37.91,38.49,200.0,4.0,2903.76
Teatro Hermilo Borba Filho,3,31.84,38.77,200.0,4.0,4768.06
Teatro Hermilo Borba Filho,3,34.61,43.45,200.0,4.0,5106.36
Teatro Hermilo Borba Filho,3,31.13,36.81,200.0,4.0,3789.07
Teatro Hermilo Borba Filho,3,38.01,43.11,200.0,4.0,3983.22
Teatro Hermilo Borba Filho,3,40.36,54.38,200.0,4.0,5095.47
Tearro Apolo,4,34.06,40.31,350.0,4.0,7991.26
Tearro Apolo,4,20.93,28.72,350.0,4.0,5248.73
Tearro Apolo,4,25.88,36.64,350.0,4.0,6846.16
Tearro Apolo,4,35.68,43.65,350.0,4.0,7810.31
Tearro Apolo,4,43.53,49.09,350.0,4.0,7612.81
Tearro Apolo,4,14.72,20.63,350.0,4.0,3265.8
Teatro Barreto Júnior,4,40.9,43.31,400.0,0.0,7111.59
Teatro Barreto Júnior,4,17.75,24.92,400.0,0.0,4754.18
Teatro Barreto Júnior,4,25.03,33.97,400.0,0.0,7005.17
Teatro Barreto Júnior,4,23.07,24.07,400.0,0.0,4947.26
Teatro Barreto Júnior,4,27.96,29.42,400.0,0.0,4982.91
Teatro Barreto Júnior,4,24.03,26.38,400.0,0.0,4223.64
Teatro Barreto Júnior,4,27.74,28.78,400.0,0.0,4707.35
Teatro Barreto Júnior,4,24.07,27.48,400.0,0.0,5015.75
Teatro Barreto Júnior,4,37.29,40.29,400.0,0.0,5510.18
Teatro Barreto Júnior,4,24.74,29.29,400.0,0.0,6214.99
Teatro Barreto Júnior,4,25.04,35.06,400.0,0.0,7698.35
Teatro Barreto Júnior,4,21.71,23.49,400.0,0.0,4331.1
Teatro de Santa Isabel,4,45.76,52.0,750.0,4.0,16706.3
Teatro de Santa Isabel,4,8.59,10.0,750.0,4.0,4560.53
Teatro de Santa Isabel,4,28.59,35.16,750.0,4.0,14115.68
Teatro de Santa Isabel,4,24.23,29.98,750.0,4.0,12731.43
Teatro de Santa Isabel,4,38.5,40.35,750.0,4.0,14199.17
Teatro de Santa Isabel,4,25.49,29.58,750.0,4.0,11391.83
Teatro de Santa Isabel,4,33.69,42.29,750.0,4.0,14298.69
Teatro de Santa Isabel,4,29.65,36.97,750.0,4.0,15719.72
Teatro de Santa Isabel,4,34.13,43.53,750.0,4.0,17508.94
Teatro do Parque,4,50.64,57.71,500.0,2.0,16160.98
Teatro do Parque,4,72.13,72.56,500.0,2.0,16653.6
Teatro do Parque,4,43.62,54.55,500.0,2.0,15896.82
Teatro do Parque,4,64.02,68.16,500.0,2.0,20181.85
Teatro do Parque,4,53.1,65.36,500.0,2.0,21997.94
Teatro do Parque,4,44.04,59.72,500.0,2.0,18837.92
Teatro do Parque,4,46.39,55.45,500.0,2.0,17759.78
Teatro do Parque,4,52.61,70.43,500.0,2.0,22091.6
Teatro do Parque,4,77.2,89.45,500.0,2.0,25482.75
Teatro do Parque,4,59.3,63.46,500.0,2.0,18811.31
Teatro do Parque,4,41.29,54.28,500.0,2.0,16531.09
Teatro do Parque,4,46.24,49.07,500.0,2.0,14721.31
Teatro do Parque,4,77.7,79.35,500.0,2.0,21279.88
Teatro do Parque,4,38.28,51.02,500.0,2.0,16213.69
Teatro do Parque,4,58.67,72.95,500.0,2.0,22057.45
Teatro do Parque,4,67.6,74.74,500.0,2.0,21032.5
Teatro Hermilo Borba Filho,4,22.17,29.03,200.0,4.0,2620.17
Teatro Hermilo Borba Filho,4,31.79,37.28,200.0,4.0,3309.15
Teatro Hermilo Borba Filho,4,30.56,36.39,200.0,4.0,2818.22
Teatro Luiz Mendonça,4,50.8,63.16,300.0,2.0,11886.81
Teatro Luiz Mendonça,4,46.99,56.06,300.0,2.0,8715.36
Teatro Luiz Mendonça,4,55.48,65.37,300.0,2.0,11218.82
Teatro Luiz Mendonça,4,46.14,59.57,300.0,2.0,10383.14
Teatro Luiz Mendonça,4,46.98,66.84,300.0,2.0,12716.91
Teatro Luiz Mendonça,4,45.99,65.01,300.0,2.0,8895.32
Teatro Luiz Mendonça,4,41.44,49.93,300.0,2.0,9229.41
Teatro Luiz Mendonça,4,50.29,61.36,300.0,2.0,8745.73
Tearro Apolo,5,28.64,32.38,350.0,4.0,5902.51
Tearro Apolo,5,31.36,32.0,350.0,4.0,5225.87
Tearro Apolo,5,33.15,38.59,350.0,4.0,7884.36
Tearro Apolo,5,56.11,59.6,350.0,4.0,7876.01
Tearro Apolo,5,42.42,44.2,350.0,4.0,6626.32
Tearro Apolo,5,57.83,62.82,350.0,4.0,9739.52
Teatro Barreto Júnior,5,20.49,21.22,400.0,0.0,3042.95
Teatro Barreto Júnior,5,40.35,47.91,400.0,0.0,7899.46
Teatro Barreto Júnior,5,30.78,40.6,400.0,0.0,7683.76
Teatro Barreto Júnior,5,31.56,38.27,400.0,0.0,6612.58
Teatro Barreto Júnior,5,22.3,24.99,400.0,0.0,4398.35
Teatro Barreto Júnior,5,14.94,16.92,400.0,0.0,2848.1
Teatro Barreto Júnior,5,25.08,27.75,400.0,0.0,5265.44
Teatro Barreto Júnior,5,39.74,44.99,400.0,0.0,8358.38
Teatro Barreto Júnior,5,34.16,41.62,400.0,0.0,6983.99
Teatro Barreto Júnior,5,32.0,38.73,400.0,0.0,6245.27
Teatro Barreto Júnior,5,34.94,46.94,400.0,0.0,6861.53
Teatro Barreto Júnior,5,16.01,21.74,400.0,0.0,4856.26
Teatro Barreto Júnior,5,11.5,13.71,400.0,0.0,3116.0
Teatro Barreto Júnior,5,18.67,25.35,400.0,0.0,4310.13
Teatro Barreto Júnior,5,21.84,25.04,400.0,0.0,3622.59
Teatro Barreto Júnior,5,25.84,28.25,400.0,0.0,5848.17
Teatro Barreto Júnior,5,44.61,46.9,400.0,0.0,7335.04
Teatro Barreto Júnior,5,37.68,44.67,400.0,0.0,6236.14
Teatro Barreto Júnior,5,38.45,43.77,400.0,0.0,8597.2
Teatro Barreto Júnior,5,50.29,62.11,400.0,0.0,9303.35
Teatro Barreto Júnior,5,57.39,58.1,400.0,0.0,8197.96
Teatro Barreto Júnior,5,30.42,40.62,400.0,0.0,8055.63
Teatro Barreto Júnior,5,27.21,30.9,400.0,0.0,4957.3
Teatro de Santa Isabel,5,33.1,36.2,750.0,4.0,11732.85
Teatro de Santa Isabel,5,36.09,48.29,750.0,4.0,15218.46
Teatro de Santa Isabel,5,30.51,41.77,750.0,4.0,17261.84
Teatro de Santa Isabel,5,19.84,22.48,750.0,4.0,8424.14
Teatro de Santa Isabel,5,27.17,33.28,750.0,4.0,11500.2
Teatro de Santa Isabel,5,27.45,38.18,750.0,4.0,12982.02
Teatro de Santa Isabel,5,33.03,35.08,750.0,4.0,14489.32
Teatro de Santa Isabel,5,29.17,35.81,750.0,4.0,13888.91
Teatro de Santa Isabel,5,54.11,62.29,750.0,4.0,21161.96
Teatro de Santa Isabel,5,43.43,54.01,750.0,4.0,18117.13
Teatro de Santa Isabel,5,34.12,47.45,750.0,4.0,15466.86
Teatro de Santa Isabel,5,24.98,35.6,750.0,4.0,12993.96
Teatro de Santa Isabel,5,24.31,26.09,750.0,4.0,9067.56
Teatro de Santa Isabel,5,33.45,34.07,750.0,4.0,13249.5
Teatro do Parque,5,47.45,63.86,500.0,2.0,18614.1
Teatro do Parque,5,49.26,56.46,500.0,2.0,17561.33
Teatro do Parque,5,39.39,50.73,500.0,2.0,14894.26
Teatro do Parque,5,61.27,63.37,500.0,2.0,15183.97
Teatro do Parque,5,51.93,70.63,500.0,2.0,21923.16
Teatro do Parque,5,62.68,68.28,500.0,2.0,16857.76
Teatro do Parque,5,52.59,61.46,500.0,2.0,19169.01
Teatro do Parque,5,52.39,58.75,500.0,2.0,17350.9
Teatro do Parque,5,58.49,64.57,500.0,2.0,16972.09
Teatro do Parque,5,37.15,48.18,500.0,2.0,14685.1
Teatro do Parque,5,42.69,52.32,500.0,2.0,17219.47
Teatro do Parque,5,54.23,63.3,500.0,2.0,18513.0
Teatro do Parque,5,51.61,53.35,500.0,2.0,15874.13
Teatro do Parque,5,56.51,62.39,500.0,2.0,17195.16
Teatro Hermilo Borba Filho,5,18.48,22.19,200.0,4.0,2334.47
Teatro Hermilo Borba Filho,5,27.25,36.35,200.0,4.0,3131.99
Teatro Hermilo Borba Filho,5,27.98,38.54,200.0,4.0,4102.34
Teatro Hermilo Borba Filho,5,26.11,28.37,200.0,4.0,3134.57
Teatro Hermilo Borba Filho,5,38.49,43.42,200.0,4.0,3061.48
Teatro Luiz Mendonça,5,64.19,68.46,300.0,2.0,11846.53
Teatro Luiz Mendonça,5,43.35,48.79,300.0,2.0,8979.64
Teatro Luiz Mendonça,5,50.16,63.26,300.0,2.0,11324.77
Teatro Luiz Mendonça,5,63.09,80.78,300.0,2.0,12221.91
Teatro Luiz Mendonça,5,71.76,78.58,300.0,2.0,13698.83
Teatro Luiz Mendonça,5,57.7,62.48,300.0,2.0,11746.51
Teatro Luiz Mendonça,5,67.52,68.24,300.0,2.0,11944.42
Teatro Luiz Mendonça,5,49.84,66.92,300.0,2.0,9109.78
Teatro Luiz Mendonça,5,43.77,56.69,300.0,2.0,10952.06
Teatro Luiz Mendonça,5,55.08,74.74,300.0,2.0,13364.15
Teatro Luiz Mendonça,5,66.37,71.48,300.0,2.0,11693.45
Teatro Luiz Mendonça,5,42.15,58.06,300.0,2.0,12333.15
Teatro Luiz Mendonça,5,49.03,68.88,300.0,2.0,14168.27
Teatro Luiz Mendonça,5,54.88,63.97,300.0,2.0,11115.52
Teatro Luiz Mendonça,5,51.35,58.01,300.0,2.0,9589.56
Teatro Luiz Mendonça,5,39.96,48.85,300.0,2.0,10024.68
Teatro Luiz Mendonça,5,50.76,59.62,300.0,2.0,9650.36
Teatro Luiz Mendonça,5,45.56,63.59,300.0,2.0,11635.56
Teatro Luiz Mendonça,5,44.14,52.51,300.0,2.0,8734.46
Teatro Luiz Mendonça,5,42.28,53.72,300.0,2.0,10516.57
Teatro Luiz Mendonça,5,63.51,67.6,300.0,2.0,11770.47
Teatro Luiz Mendonça,5,45.24,63.87,300.0,2.0,12750.37
Teatro Luiz Mendonça,5,72.75,75.47,300.0,2.0,12259.44
Teatro Luiz Mendonça,5,45.92,55.59,300.0,2.0,10419.95
Teatro Luiz Mendonça,5,43.79,50.58,300.0,2.0,9831.14
Teatro Luiz Mendonça,5,63.07,66.11,300.0,2.0,13264.19
Teatro Luiz Mendonça,5,45.64,59.23,300.0,2.0,9682.83
Teatro Luiz Mendonça,5,48.46,58.44,300.0,2.0,11510.53
Teatro Luiz Mendonça,5,52.03,65.7,300.0,2.0,11213.57
Teatro Luiz Mendonça,5,61.9,63.56,300.0,2.0,11210.22
Teatro Luiz Mendonça,5,46.69,60.49,300.0,2.0,9766.86
Teatro Luiz Mendonça,5,43.36,51.53,300.0,2.0,9046.98
Teatro Luiz Mendonça,5,47.0,55.17,300.0,2.0,11961.47
Tearro Apolo,6,48.72,50.16,350.0,4.0,7890.08
Tearro Apolo,6,35.03,36.73,350.0,4.0,5580.93
Tearro Apolo,6,32.39,36.96,350.0,4.0,6093.59
Teatro Barreto Júnior,6,31.24,44.61,400.0,0.0,6435.64
Teatro Barreto Júnior,6,21.32,30.38,400.0,0.0,6123.74
Teatro Barreto Júnior,6,39.73,47.22,400.0,0.0,7223.66
Teatro Barreto Júnior,6,19.11,26.24,400.0,0.0,4980.23
Teatro Barreto Júnior,6,29.03,35.88,400.0,0.0,6708.38
Teatro Barreto Júnior,6,33.12,35.11,400.0,0.0,5408.25
Teatro Barreto Júnior,6,28.2,31.15,400.0,0.0,5563.38
Teatro Barreto Júnior,6,32.81,39.75,400.0,0.0,7499.29
Teatro Barreto Júnior,6,23.63,24.15,400.0,0.0,5217.44
Teatro Barreto Júnior,6,34.9,41.79,400.0,0.0,7033.1
Teatro Barreto Júnior,6,20.75,24.36,400.0,0.0,4812.56
Teatro Barreto Júnior,6,37.78,42.25,400.0,0.0,6347.8
Teatro Barreto Júnior,6,28.0,37.0,400.0,0.0,6409.3
Teatro Barreto Júnior,6,13.27,13.44,400.0,0.0,2466.08
Teatro Barreto Júnior,6,27.68,29.45,400.0,0.0,5053.41
Teatro de Santa Isabel,6,31.09,40.32,750.0,4.0,16050.27
Teatro de Santa Isabel,6,8.83,10.83,750.0,4.0,3921.82
Teatro de Santa Isabel,6,24.77,25.34,750.0,4.0,10852.68
Teatro de Santa Isabel,6,26.65,34.17,750.0,4.0,12548.82
Teatro de Santa Isabel,6,24.46,31.37,750.0,4.0,12341.36
Teatro de Santa Isabel,6,23.09,31.98,750.0,4.0,12932.06
Teatro de Santa Isabel,6,17.53,21.97,750.0,4.0,7671.47
Teatro de Santa Isabel,6,16.59,22.24,750.0,4.0,9580.28
Teatro do Parque,6,59.98,62.14,500.0,2.0,17551.04
Teatro do Parque,6,63.85,69.85,500.0,2.0,18939.68
Teatro do Parque,6,61.34,61.93,500.0,2.0,18269.82
Teatro do Parque,6,69.69,80.75,500.0,2.0,23128.1
Teatro do Parque,6,56.77,57.14,500.0,2.0,15963.02
Teatro do Parque,6,69.98,70.45,500.0,2.0,20841.25
Teatro do Parque,6,46.22,64.08,500.0,2.0,19310.14
Teatro do Parque,6,35.86,50.95,500.0,2.0,15909.61
Teatro do Parque,6,36.99,52.35,500.0,2.0,15688.31
Teatro do Parque,6,62.96,64.72,500.0,2.0,20115.13
Teatro do Parque,6,56.26,66.3,500.0,2.0,17568.08
Teatro do Parque,6,42.58,60.22,500.0,2.0,17321.95
Teatro do Parque,6,57.6,72.37,500.0,2.0,22453.24
Teatro do Parque,6,72.39,84.16,500.0,2.0,21988.32
Teatro Hermilo Borba Filho,6,36.81,41.02,200.0,4.0,4398.77
Teatro Hermilo Borba Filho,6,32.95,45.83,200.0,4.0,3501.01
Teatro Hermilo Borba Filho,6,54.43,57.22,200.0,4.0,5419.55
Teatro Hermilo Borba Filho,6,41.71,45.31,200.0,4.0,3712.23
Teatro Hermilo Borba Filho,6,38.22,40.56,200.0,4.0,3798.11
Teatro Hermilo Borba Filho,6,41.21,43.87,200.0,4.0,4690.32
Teatro Luiz Mendonça,6,54.63,60.32,300.0,2.0,11434.17
Teatro Luiz Mendonça,6,49.99,65.95,300.0,2.0,13662.0
Teatro Luiz Mendonça,6,65.68,67.57,300.0,2.0,9320.85
Teatro Luiz Mendonça,6,52.93,54.53,300.0,2.0,9511.73
Teatro Luiz Mendonça,6,59.09,66.99,300.0,2.0,11957.2
Teatro Luiz Mendonça,6,59.92,70.55,300.0,2.0,10494.06
Teatro Luiz Mendonça,6,72.29,87.07,300.0,2.0,15196.59
Teatro Luiz Mendonça,6,51.08,68.24,300.0,2.0,11734.2
Teatro Luiz Mendonça,6,71.46,77.59,300.0,2.0,10973.87
Teatro Luiz Mendonça,6,41.97,55.57,300.0,2.0,10003.89
Teatro Luiz Mendonça,6,40.64,56.53,300.0,2.0,9980.92
Teatro Luiz Mendonça,6,54.86,57.56,300.0,2.0,10153.38
Teatro Luiz Mendonça,6,51.6,71.33,300.0,2.0,12701.2
Teatro Luiz Mendonça,6,48.82,56.49,300.0,2.0,9180.24
Teatro Luiz Mendonça,6,68.4,69.81,300.0,2.0,12255.44
Teatro Luiz Mendonça,6,42.63,54.98,300.0,2.0,9356.68
Teatro Luiz Mendonça,6,64.21,70.49,300.0,2.0,10353.57
Teatro Luiz Mendonça,6,51.31,63.2,300.0,2.0,10571.07
Teatro Luiz Mendonça,6,54.29,65.91,300.0,2.0,12517.56
Teatro Luiz Mendonça,6,47.95,60.66,300.0,2.0,11595.39
Teatro Luiz Mendonça,6,50.45,65.14,300.0,2.0,11986.68
Teatro Luiz Mendonça,6,49.21,65.86,300.0,2.0,9654.8
Teatro Luiz Mendonça,6,69.96,86.86,300.0,2.0,13492.07
Teatro Luiz Mendonça,6,40.03,54.56,300.0,2.0,9468.55
Teatro Luiz Mendonça,6,46.51,56.94,300.0,2.0,10568.32
Teatro Luiz Mendonça,6,50.35,64.45,300.0,2.0,11035.79
Teatro Luiz Mendonça,6,68.0,75.34,300.0,2.0,12343.38
Teatro Luiz Mendonça,6,50.56,57.15,300.0,2.0,9626.58
Teatro Luiz Mendonça,6,53.5,62.86,300.0,2.0,9529.4
Teatro Luiz Mendonça,6,46.67,66.27,300.0,2.0,10081.16
Teatro Luiz Mendonça,6,68.61,77.35,300.0,2.0,12628.19
Teatro Luiz Mendonça,6,72.82,87.77,300.0,2.0,11018.93
Teatro Luiz Mendonça,6,47.55,60.73,300.0,2.0,12606.51
Teatro Luiz Mendonça,6,44.71,60.1,300.0,2.0,8650.97
Teatro Luiz Mendonça,6,71.68,84.35,300.0,2.0,13807.44
Teatro Luiz Mendonça,6,52.48,65.56,300.0,2.0,11243.83
Teatro Luiz Mendonça,6,53.66,62.3,300.0,2.0,11465.05
Teatro Luiz Mendonça,6,35.07,42.81,300.0,2.0,8591.9
Teatro Luiz Mendonça,6,67.43,67.61,300.0,2.0,11047.03
Teatro Luiz Mendonça,6,60.39,73.44,300.0,2.0,11779.7
Tearro Apolo,7,27.96,30.3,350.0,4.0,4665.36
Tearro Apolo,7,29.02,39.63,350.0,4.0,5952.4
Teatro Barreto Júnior,7,33.93,47.09,400.0,0.0,10333.67
Teatro Barreto Júnior,7,46.26,49.8,400.0,0.0,7310.32
Teatro Barreto Júnior,7,25.13,32.62,400.0,0.0,7323.91
Teatro Barreto Júnior,7,27.38,35.43,400.0,0.0,6617.99
Teatro Barreto Júnior,7,29.83,41.84,400.0,0.0,6826.52
Teatro Barreto Júnior,7,39.51,42.06,400.0,0.0,7402.81
Teatro Barreto Júnior,7,27.37,33.17,400.0,0.0,6543.02
Teatro Barreto Júnior,7,25.54,26.34,400.0,0.0,4983.25
Teatro Barreto Júnior,7,21.37,25.99,400.0,0.0,4430.02
Teatro Barreto Júnior,7,24.84,28.68,400.0,0.0,4535.65
Teatro Barreto Júnior,7,29.33,30.64,400.0,0.0,5865.26
Teatro Barreto Júnior,7,17.77,19.78,400.0,0.0,3390.62
Teatro Barreto Júnior,7,22.13,25.17,400.0,0.0,5494.73
Teatro de Santa Isabel,7,35.75,47.4,750.0,4.0,17218.02
Teatro de Santa Isabel,7,44.18,48.19,750.0,4.0,18209.35
Teatro de Santa Isabel,7,43.67,49.96,750.0,4.0,14897.25
Teatro de Santa Isabel,7,35.84,38.45,750.0,4.0,12843.29
Teatro de Santa Isabel,7,29.17,40.16,750.0,4.0,16174.87
Teatro de Santa Isabel,7,32.86,40.36,750.0,4.0,15714.47
Teatro de Santa Isabel,7,37.4,42.17,750.0,4.0,15296.31
Teatro de Santa Isabel,7,49.75,53.78,750.0,4.0,18058.18
Teatro de Santa Isabel,7,27.1,32.38,750.0,4.0,13754.3
Teatro de Santa Isabel,7,51.93,52.32,750.0,4.0,17756.35
Teatro de Santa Isabel,7,46.66,55.22,750.0,4.0,19445.87
Teatro de Santa Isabel,7,29.57,42.16,750.0,4.0,16134.73
Teatro de Santa Isabel,7,18.1,22.89,750.0,4.0,8885.42
Teatro do Parque,7,45.91,47.0,500.0,2.0,13114.27
Teatro do Parque,7,67.25,76.48,500.0,2.0,22657.52
